1595538351.000000, 1595538351.000000, 1595538351.000000
32.000000, 32.000000, 32.000000
-63,9,7
-64,9,7
-63,9,7
-63,9,8
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-64,9,7
-63,9,7
-63,9,7
-63,10,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-64,9,7
-64,8,7
-63,9,7
-64,9,7
-63,9,7
-63,9,6
-63,9,7
-63,9,6
-63,9,7
-64,9,7
-64,8,6
-65,9,6
-64,8,6
-63,8,7
-63,8,7
-63,9,7
-63,8,7
-64,9,7
-63,9,6
-63,8,7
-64,8,7
-63,8,7
-64,8,6
-64,8,7
-63,8,6
-63,9,7
-63,9,6
-63,9,7
-63,9,6
-63,8,6
-63,8,7
-63,8,6
-64,8,7
-64,8,6
-63,8,7
-64,8,6
-64,8,7
-64,8,7
-63,8,6
-64,8,7
-63,8,7
-64,8,6
-63,8,6
-64,8,6
-63,8,7
-64,8,7
-63,8,6
-63,8,7
-63,8,7
-63,8,7
-64,8,6
-64,8,6
-63,8,6
-64,9,7
-63,9,7
-63,9,6
-63,9,7
-63,9,7
-63,9,7
-63,9,7
-64,9,7
-63,8,7
-63,7,7
-64,8,7
-64,8,7
-64,8,6
-64,8,6
-64,8,6
-64,8,6
-64,8,7
-64,8,6
-63,9,6
-64,8,6
-64,8,6
-63,8,7
-64,8,6
-64,8,7
-63,9,7
-64,9,6
-64,9,6
-63,9,6
-63,9,6
-63,9,7
-63,9,7
-63,9,6
-64,8,6
-63,8,7
-63,8,7
-64,8,7
-64,8,7
-63,8,7
-63,9,7
-64,8,7
-63,8,7
-64,9,7
-63,8,7
-63,8,7
-65,9,6
-64,8,7
-64,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-63,8,7
-64,8,7
-64,8,7
-63,8,7
-64,8,7
-64,8,7
-63,8,7
-64,8,7
-63,8,7
-64,8,7
-64,7,7
-63,7,7
-64,7,7
-64,7,7
-63,7,7
-63,8,7
-63,8,7
-64,8,7
-64,7,7
-64,8,7
-63,8,7
-64,8,7
-63,8,7
-64,7,7
-64,7,7
-63,7,7
-63,8,7
-63,8,7
-64,8,7
-64,7,7
-63,7,7
-63,8,7
-64,7,7
-63,8,8
-64,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-63,8,7
-63,8,7
-64,8,7
-64,8,7
-64,7,7
-63,8,7
-63,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
-64,8,7
-64,8,7
-63,8,7
-64,8,7
-64,8,7
-64,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
-63,8,7
-64,8,7
-63,8,7
